order_id,customer_id,order_date,order_status,shipping_city,shipping_state,shipping_cost,delivery_days
ORD-2024-100060,CUST-15236,2024-01-06,Delivered,Rochester,MN,0.0,3
ORD-2024-100061,CUST-12149,2024-01-06,Delivered,Broken Arrow,OK,0.0,5
ORD-2024-100062,CUST-14746,2024-01-06,Delivered,Tuscaloosa,AL,19.99,2
ORD-2024-100063,CUST-12544,2024-01-06,Delivered,Virginia Beach,VA,14.99,7
ORD-2024-100064,CUST-14105,2024-01-06,Delivered,Owensboro,KY,19.99,7
ORD-2024-100065,CUST-10202,2024-01-06,Delivered,Owensboro,KY,14.99,3
ORD-2024-100066,CUST-12979,2024-01-06,Delivered,Houston,TX,0.0,6
ORD-2024-100067,CUST-10548,2024-01-06,Delivered,Cambridge,MA,0.0,6
ORD-2024-100068,CUST-12718,2024-01-06,Shipped,Covington,KY,0.0,4
ORD-2024-100069,CUST-11713,2024-01-06,Processing,West Jordan,UT,4.99,0
ORD-2024-100070,CUST-11716,2024-01-06,Delivered,Chicago,IL,9.99,6
ORD-2024-100071,CUST-14587,2024-01-06,Delivered,Shreveport,LA,14.99,7
ORD-2024-100072,CUST-14853,2024-01-06,Delivered,New Orleans,LA,14.99,4
ORD-2024-100073,CUST-10722,2024-01-06,Delivered,Fort Collins,CO,14.99,7
ORD-2024-100074,CUST-11986,2024-01-07,Delivered,Ann Arbor,MI,19.99,4
ORD-2024-100075,CUST-14486,2024-01-07,Delivered,Chandler,AZ,4.99,4
ORD-2024-100076,CUST-12425,2024-01-07,Delivered,Clarksville,TN,19.99,3
ORD-2024-100077,CUST-10209,2024-01-07,Delivered,Seattle,WA,4.99,3
ORD-2024-100078,CUST-14931,2024-01-07,Delivered,Salem,OR,4.99,3
ORD-2024-100079,CUST-12173,2024-01-07,Delivered,Bowie,MD,14.99,6
ORD-2024-100080,CUST-13634,2024-01-07,Delivered,Oklahoma City,OK,0.0,6
ORD-2024-100081,CUST-10637,2024-01-07,Cancelled,Knoxville,TN,14.99,0
ORD-2024-100082,CUST-13442,2024-01-07,Delivered,Columbus,OH,4.99,5
ORD-2024-100083,CUST-10195,2024-07-01,Cancelled,Chicago,IL,0.0,0
ORD-2024-100084,CUST-12411,2024-01-07,Delivered,El Paso,TX,14.99,2
ORD-2024-100085,CUST-14157,2024-01-07,Shipped,Chandler,AZ,19.99,3
ORD-2024-100086,CUST-12247,2024-01-08,Delivered,Tulsa,OK,9.99,7
ORD-2024-100087,CUST-14360,2024-01-08,Delivered,Racine,WI,0.0,5
ORD-2024-100088,CUST-14735,2024-01-08,Delivered,Austin,TX,4.99,3
ORD-2024-100089,CUST-12918,2024-01-08,Delivered,Orem,UT,19.99,4
ORD-2024-100090,CUST-13916,2024-01-08,Delivered,Chattanooga,TN,4.99,5
ORD-2024-100091,CUST-13125,2024-01-08,Delivered,St. Petersburg,FL,4.99,6
ORD-2024-100092,CUST-14500,2024-01-08,Delivered,Columbia,SC,14.99,5
ORD-2024-100093,CUST-11112,2024-01-08,Delivered,Austin,TX,14.99,7
ORD-2024-100094,CUST-12014,2024-01-08,Delivered,Austin,TX,19.99,3
ORD-2024-100095,CUST-14833,2024-01-08,Delivered,Salem,OR,9.99,2
ORD-2024-100096,CUST-15406,2024-01-08,Delivered,Savannah,GA,14.99,2
ORD-2024-100097,CUST-10239,2024-01-08,Delivered,Columbus,GA,9.99,6
ORD-2024-100098,CUST-15130,2024-01-08,Returned,Erie,PA,19.99,5
ORD-2024-100099,CUST-14859,2024-01-08,Delivered,Columbia,MO,19.99,2
ORD-2024-100100,CUST-10204,2024-01-09,Delivered,Miami,FL,14.99,5
ORD-2024-100101,CUST-13879,2024-01-09,Delivered,Aurora,CO,19.99,6
ORD-2024-100102,CUST-14159,2024-01-09,Processing,Bridgeport,CT,9.99,0
ORD-2024-100103,CUST-13859,2024-01-09,Delivered,Macon,GA,0.0,3
ORD-2024-100104,CUST-13359,2024-01-09,Delivered,Birmingham,AL,9.99,3
ORD-2024-100105,CUST-13082,2024-01-09,Delivered,Indianapolis,IN,0.0,4
ORD-2024-100106,CUST-14978,2024-01-09,Delivered,Orem,UT,4.99,2
ORD-2024-100107,CUST-14754,2024-01-09,Delivered,Huntsville,AL,19.99,7
ORD-2024-100108,CUST-10501,2024-01-09,Delivered,New Orleans,LA,4.99,7
ORD-2024-100109,CUST-15419,2024-01-09,Cancelled,Gresham,OR,0.0,0
ORD-2024-100110,CUST-13980,2024-01-09,Delivered,Philadelphia,PA,4.99,6
ORD-2024-100111,CUST-13323,2024-01-09,Shipped,Salt Lake City,UT,14.99,3
ORD-2024-100112,CUST-15302,2024-01-09,Delivered,Pittsburgh,PA,4.99,6
ORD-2024-100113,CUST-11767,2024-01-09,Cancelled,Orlando,FL,4.99,0
ORD-2024-100114,CUST-13278,2024-01-10,Delivered,Greenville,SC,9.99,6
ORD-2024-100115,CUST-14779,2024-01-10,Delivered,Knoxville,TN,4.99,3
ORD-2024-100116,CUST-13375,2024-01-10,Delivered,Columbus,GA,0.0,3
ORD-2024-100117,CUST-10188,2024-01-10,Delivered,Frederick,MD,14.99,2
ORD-2024-100118,CUST-12819,2024-01-10,Delivered,St. Petersburg,FL,4.99,4
ORD-2024-100119,CUST-11942,2024-01-10,Delivered,Columbus,GA,4.99,5
ORD-2024-100120,CUST-12344,2024-01-10,Delivered,Eugene,OR,0.0,4
ORD-2024-100121,CUST-14219,2024-01-10,Delivered,Oklahoma City,OK,4.99,2
ORD-2024-100122,CUST-10418,2024-01-10,Delivered,Colorado Springs,CO,4.99,6
ORD-2024-100123,CUST-10418,2024-01-10,Delivered,Colorado Springs,CO,0.0,5
ORD-2024-100124,CUST-14261,2024-01-10,Delivered,Dallas,TX,9.99,4
ORD-2024-100125,CUST-13734,2024-01-10,Delivered,Hillsboro,OR,19.99,2
ORD-2024-100126,CUST-10515,2024-01-10,Delivered,Evansville,IN,19.99,4
ORD-2024-100127,CUST-14308,2024-01-10,Delivered,Milwaukee,WI,0.0,4
ORD-2024-100128,CUST-10450,2024-01-10,Delivered,West Jordan,UT,4.99,7
ORD-2024-100129,CUST-12425,2024-01-11,Delivered,Clarksville,TN,4.99,5
ORD-2024-100130,CUST-14247,2024-01-11,Delivered,Ann Arbor,MI,9.99,5
ORD-2024-100131,CUST-10658,2024-01-11,Shipped,Chandler,AZ,4.99,1
ORD-2024-100132,CUST-10339,2024-01-11,Cancelled,Reno,NV,19.99,0
ORD-2024-100133,CUST-11965,2024-01-11,Delivered,Gaithersburg,MD,19.99,3
ORD-2024-100134,CUST-13789,2024-01-11,Delivered,Salt Lake City,UT,4.99,7
ORD-2024-100135,CUST-12411,2024-01-11,Cancelled,El Paso,TX,9.99,0
ORD-2024-100136,CUST-10771,2024-01-11,Delivered,Chesapeake,VA,19.99,6
ORD-2024-100137,CUST-12945,2024-01-11,Delivered,Virginia Beach,VA,0.0,6
ORD-2024-100138,CUST-14979,2024-01-11,Delivered,North Las Vegas,NV,14.99,3
ORD-2024-100139,CUST-14646,2024-01-11,Delivered,Baton Rouge,LA,19.99,3
ORD-2024-100140,CUST-14977,2024-01-11,Delivered,Reno,NV,9.99,7
ORD-2024-100141,CUST-11713,2024-01-11,Delivered,West Jordan,UT,19.99,3
ORD-2024-100142,CUST-12828,2024-01-12,Delivered,Augusta,GA,14.99,4
ORD-2024-100143,CUST-15426,2024-01-12,Delivered,Tucson,AZ,19.99,4
ORD-2024-100144,CUST-12241,2024-01-12,Delivered,Eugene,OR,4.99,2
ORD-2024-100145,CUST-10827,2024-01-12,Delivered,Joliet,IL,19.99,3
ORD-2024-100146,CUST-12428,2024-01-12,Delivered,Sacramento,CA,19.99,7
ORD-2024-100147,CUST-14372,2024-01-12,Delivered,Carmel,IN,0.0,4
ORD-2024-100148,CUST-10263,2024-01-12,Delivered,Erie,PA,0.0,5
ORD-2024-100149,CUST-10624,2024-01-12,Delivered,Savannah,GA,14.99,6
ORD-2024-100150,CUST-10338,2024-01-12,Returned,Tacoma,WA,4.99,5
ORD-2024-100151,CUST-10421,2024-01-12,Delivered,Athens,GA,14.99,4
ORD-2024-100152,CUST-11594,2024-01-13,Delivered,West Jordan,UT,19.99,7
ORD-2024-100153,CUST-14104,2024-01-13,Delivered,Tampa,FL,14.99,7
ORD-2024-100154,CUST-14699,2024-01-13,Cancelled,Stamford,CT,4.99,0
ORD-2024-100155,CUST-14680,2024-01-13,Delivered,Newport News,VA,19.99,2
ORD-2024-100156,CUST-12294,2024-01-13,Delivered,Lowell,MA,4.99,4
ORD-2024-100157,CUST-12773,2024-01-13,Delivered,Richmond,VA,9.99,5
ORD-2024-100158,CUST-12692,2024-01-13,Delivered,Chicago,IL,0.0,4
ORD-2024-100159,CUST-14411,2024-01-13,Delivered,Lowell,MA,0.0,3
ORD-2024-100160,CUST-11340,2024-01-13,Delivered,Ann Arbor,MI,4.99,3
ORD-2024-100161,CUST-14670,2024-01-13,Delivered,Oklahoma City,OK,14.99,7
ORD-2024-100162,CUST-11143,2024-01-13,Delivered,Jersey City,NJ,14.99,2
ORD-2024-100163,CUST-10096,2024-01-13,Delivered,Tallahassee,FL,19.99,2
ORD-2024-100164,CUST-10587,2024-01-14,Delivered,Pittsburgh,PA,4.99,5
ORD-2024-100165,CUST-13073,2024-01-14,Delivered,Memphis,TN,9.99,6
ORD-2024-100166,CUST-11797,2024-01-14,Delivered,Rochester,NY,0.0,5
ORD-2024-100167,CUST-13452,2024-01-14,Delivered,Warren,MI,19.99,7
ORD-2024-100168,CUST-11800,2024-01-14,Delivered,Las Vegas,NV,19.99,5
ORD-2024-100169,CUST-15237,2024-01-14,Delivered,Columbia,MO,4.99,6
ORD-2024-100170,CUST-14901,2024-01-14,Delivered,North Las Vegas,NV,0.0,3
ORD-2024-100171,CUST-15108,2024-01-14,Delivered,Jersey City,NJ,14.99,7
ORD-2024-100172,CUST-11631,2024-01-14,Delivered,Jersey City,NJ,9.99,4
ORD-2024-100173,CUST-13527,2024-01-14,Processing,Houston,TX,4.99,0
ORD-2024-100174,CUST-15336,2024-01-14,Delivered,Syracuse,NY,14.99,4
ORD-2024-100175,CUST-11594,2024-01-15,Delivered,West Jordan,UT,4.99,4
ORD-2024-100176,CUST-11814,2024-01-15,Delivered,Baltimore,MD,19.99,3
ORD-2024-100177,CUST-14947,2024-01-15,Delivered,Carmel,IN,0.0,2
ORD-2024-100178,CUST-10267,2024-01-15,Delivered,Oklahoma City,OK,19.99,4
ORD-2024-100179,CUST-12621,2024-01-15,Delivered,Kenosha,WI,4.99,2
ORD-2024-100180,CUST-15251,2024-01-15,Delivered,Broken Arrow,OK,14.99,4
ORD-2024-100181,CUST-11216,2024-01-15,Delivered,Mobile,AL,14.99,5
ORD-2024-100182,CUST-10928,2024-01-15,Delivered,Tacoma,WA,0.0,7
ORD-2024-100183,CUST-10021,2024-01-15,Delivered,Sparks,NV,14.99,6
ORD-2024-100184,CUST-10418,2024-01-15,Delivered,Colorado Springs,CO,9.99,3
ORD-2024-100185,CUST-14045,2024-01-15,Delivered,Naperville,IL,14.99,4
ORD-2024-100186,CUST-15288,2024-01-15,Delivered,Springfield,MA,9.99,7
ORD-2024-100187,CUST-14864,2024-01-15,Delivered,Bloomington,MN,9.99,2
ORD-2024-100188,CUST-14082,2024-01-16,Delivered,Racine,WI,9.99,2
ORD-2024-100189,CUST-14080,2024-01-16,Delivered,West Jordan,UT,19.99,5
ORD-2024-100190,CUST-10523,2024-01-16,Returned,Tallahassee,FL,9.99,6
ORD-2024-100191,CUST-13981,2024-01-16,Processing,Charlotte,NC,14.99,0
ORD-2024-100192,CUST-13020,2024-01-16,Delivered,Nashville,TN,19.99,5
ORD-2024-100193,CUST-12749,2024-01-16,Delivered,Montgomery,AL,14.99,2
ORD-2024-100194,CUST-13326,2024-01-16,Delivered,Virginia Beach,VA,4.99,6
ORD-2024-100195,CUST-12580,2024-01-16,Delivered,Reno,NV,0.0,7
ORD-2024-100196,CUST-12300,2024-01-16,Delivered,Chesapeake,VA,0.0,7
ORD-2024-100197,CUST-12000,2024-01-16,Delivered,Detroit,MI,4.99,7
ORD-2024-100198,CUST-11810,2024-01-16,Delivered,San Francisco,CA,4.99,3
ORD-2024-100199,CUST-14978,2024-01-16,Delivered,Orem,UT,19.99,2
ORD-2024-100200,CUST-11571,2024-01-16,Delivered,Grand Rapids,MI,19.99,7
ORD-2024-100201,CUST-12870,2024-01-17,Delivered,Charlotte,NC,14.99,4
ORD-2024-100202,CUST-14986,2024-01-17,Delivered,Lafayette,LA,4.99,4
ORD-2024-100203,CUST-11150,2024-01-17,Shipped,Greensboro,NC,4.99,3
ORD-2024-100204,CUST-11918,2024-01-17,Delivered,Kenosha,WI,0.0,6
ORD-2024-100205,CUST-15403,2024-01-17,Delivered,Rochester,NY,4.99,6
ORD-2024-100206,CUST-10226,2024-01-17,Delivered,Broken Arrow,OK,19.99,2
ORD-2024-100207,CUST-13390,2024-01-17,Delivered,Kenosha,WI,14.99,5
ORD-2024-100208,CUST-11559,2024-01-17,Delivered,Syracuse,NY,4.99,7
ORD-2024-100209,CUST-11536,2024-01-17,Delivered,Orlando,FL,9.99,6
ORD-2024-100210,CUST-12867,2024-01-17,Returned,Vancouver,WA,19.99,6
ORD-2024-100211,CUST-13756,2024-01-17,Delivered,Los Angeles,CA,19.99,5
ORD-2024-100212,CUST-13344,2024-01-17,Delivered,Greensboro,NC,19.99,5
ORD-2024-100213,CUST-13921,2024-01-17,Delivered,Orem,UT,4.99,4
ORD-2024-100214,CUST-11233,2024-01-18,Delivered,Gresham,OR,14.99,3
ORD-2024-100215,CUST-15426,2024-01-18,Delivered,Tucson,AZ,14.99,2
ORD-2024-100216,CUST-12241,2024-01-18,Delivered,Eugene,OR,0.0,3
ORD-2024-100217,CUST-11552,2024-01-18,Delivered,Independence,MO,9.99,6
ORD-2024-100218,CUST-10002,2024-01-18,Delivered,Milwaukee,WI,19.99,4
ORD-2024-100219,CUST-13291,2024-01-18,Delivered,Mobile,AL,0.0,6
ORD-2024-100220,CUST-10929,2024-01-18,Processing,Chattanooga,TN,4.99,0
ORD-2024-100221,CUST-12266,2024-01-18,Delivered,Indianapolis,IN,4.99,5
ORD-2024-100222,CUST-11655,2024-01-18,Processing,St. Petersburg,FL,0.0,0
ORD-2024-100223,CUST-11371,2024-01-18,Delivered,Springfield,MO,9.99,6
ORD-2024-100224,CUST-14902,2024-01-18,Shipped,Rochester,MN,4.99,2
ORD-2024-100225,CUST-13974,2024-01-18,Delivered,Carmel,IN,14.99,4
ORD-2024-100226,CUST-13909,2024-01-19,Delivered,Madison,WI,19.99,4
ORD-2024-100227,CUST-11519,2024-01-19,Delivered,Sparks,NV,9.99,3
ORD-2024-100228,CUST-13934,2024-01-19,Delivered,Salem,OR,4.99,5
ORD-2024-100229,CUST-12975,2024-01-19,Delivered,Tampa,FL,4.99,6
ORD-2024-100230,CUST-14804,2024-01-19,Delivered,Minneapolis,MN,9.99,2
ORD-2024-100231,CUST-14218,2024-01-19,Delivered,Vancouver,WA,0.0,2
ORD-2024-100232,CUST-15422,2024-01-19,Delivered,Atlanta,GA,4.99,6
ORD-2024-100233,CUST-13791,2024-01-19,Cancelled,Scranton,PA,4.99,0
ORD-2024-100234,CUST-12205,2024-01-19,Delivered,Philadelphia,PA,0.0,7
ORD-2024-100235,CUST-13988,2024-01-19,Delivered,Springfield,MO,14.99,7
ORD-2024-100236,CUST-14538,2024-01-19,Delivered,Warren,MI,4.99,3
ORD-2024-100237,CUST-11593,2024-01-20,Delivered,Knoxville,TN,9.99,6
ORD-2024-100238,CUST-14735,2024-01-20,Delivered,Austin,TX,9.99,6
ORD-2024-100239,CUST-14855,2024-01-20,Delivered,Houston,TX,19.99,7
ORD-2024-100240,CUST-10434,2024-01-20,Delivered,Hillsboro,OR,14.99,6
ORD-2024-100241,CUST-10464,2024-01-20,Delivered,Norman,OK,9.99,6
ORD-2024-100242,CUST-13885,2024-01-20,Delivered,Allentown,PA,4.99,2
ORD-2024-100243,CUST-10116,2024-01-20,Delivered,Kenosha,WI,14.99,2
ORD-2024-100244,CUST-11953,2024-01-20,Shipped,Salt Lake City,UT,14.99,2
ORD-2024-100245,CUST-12263,2024-01-20,Delivered,Vancouver,WA,9.99,3
ORD-2024-100246,CUST-14704,2024-01-20,Delivered,Springfield,MO,14.99,2
ORD-2024-100247,CUST-12610,2024-01-20,Delivered,Columbia,MO,19.99,6
ORD-2024-100248,CUST-10137,2024-01-20,Delivered,Chandler,AZ,14.99,4
ORD-2024-100249,CUST-11160,2024-01-20,Delivered,Salem,OR,19.99,6
ORD-2024-100250,CUST-12937,2024-01-20,Delivered,Fort Worth,TX,0.0,4
ORD-2024-100251,CUST-13518,2024-01-21,Delivered,Edmond,OK,4.99,2
ORD-2024-100252,CUST-12378,2024-01-21,Delivered,Trenton,NJ,19.99,4
ORD-2024-100253,CUST-14724,2024-01-21,Delivered,New Haven,CT,4.99,6
ORD-2024-100254,CUST-14321,2024-01-21,Delivered,Knoxville,TN,14.99,6
ORD-2024-100255,CUST-11680,2024-01-21,Delivered,New York,NY,14.99,2
ORD-2024-100256,CUST-10773,2024-01-21,Delivered,Stamford,CT,14.99,7
ORD-2024-100257,CUST-15402,2024-01-21,Delivered,Jacksonville,FL,14.99,2
ORD-2024-100258,CUST-10908,2024-01-21,Delivered,Bowie,MD,19.99,4
ORD-2024-100259,CUST-13097,2024-01-21,Returned,Racine,WI,4.99,2
ORD-2024-100260,CUST-11382,2024-01-21,Returned,Worcester,MA,14.99,7
ORD-2024-100261,CUST-14129,2024-01-21,Delivered,Salt Lake City,UT,4.99,5
ORD-2024-100262,CUST-13419,2024-01-21,Delivered,Knoxville,TN,14.99,2
ORD-2024-100263,CUST-15426,2024-01-22,Delivered,Tucson,AZ,14.99,2
ORD-2024-100264,CUST-12328,2024-01-22,Delivered,Charlotte,NC,14.99,5
ORD-2024-100265,CUST-11323,2024-01-22,Delivered,Edmond,OK,19.99,3
ORD-2024-100266,CUST-11929,2024-01-22,Delivered,San Francisco,CA,19.99,6
ORD-2024-100267,CUST-13624,2024-01-22,Delivered,St. Louis,MO,14.99,3
ORD-2024-100268,CUST-12371,2024-01-22,Delivered,Bloomington,MN,4.99,7
ORD-2024-100269,CUST-14069,2024-01-22,Delivered,Pittsburgh,PA,4.99,5
ORD-2024-100270,CUST-15424,2024-01-23,Delivered,Winston-Salem,NC,0.0,4
ORD-2024-100271,CUST-15212,2024-01-23,Delivered,Gresham,OR,19.99,3
ORD-2024-100272,CUST-14172,2024-01-23,Delivered,New Orleans,LA,9.99,7
ORD-2024-100273,CUST-10480,2024-01-23,Delivered,Bloomington,MN,0.0,3
ORD-2024-100274,CUST-13010,2024-01-23,Delivered,Denver,CO,19.99,4
ORD-2024-100275,CUST-13892,2024-01-23,Delivered,Paterson,NJ,0.0,4
ORD-2024-100276,CUST-13485,2024-01-23,Delivered,Worcester,MA,14.99,5
ORD-2024-100277,CUST-12154,2024-01-23,Cancelled,Saint Paul,MN,0.0,0
ORD-2024-100278,CUST-15399,2024-01-23,Delivered,Cambridge,MA,19.99,2
ORD-2024-100279,CUST-11325,2024-01-23,Returned,Louisville,KY,14.99,6
ORD-2024-100280,CUST-14784,2024-01-23,Delivered,Augusta,GA,4.99,5
ORD-2024-100281,CUST-13362,2024-01-24,Processing,Greensboro,NC,0.0,0
ORD-2024-100282,CUST-11814,2024-01-24,Delivered,Baltimore,MD,14.99,4
ORD-2024-100283,CUST-13909,2024-01-24,Delivered,Madison,WI,0.0,6
ORD-2024-100284,CUST-15377,2024-01-24,Delivered,Louisville,KY,0.0,3
ORD-2024-100285,CUST-13453,2024-01-24,Delivered,Montgomery,AL,14.99,7
ORD-2024-100286,CUST-12175,2024-01-24,Cancelled,Tampa,FL,4.99,0
ORD-2024-100287,CUST-15383,2024-01-24,Processing,Yonkers,NY,19.99,0
ORD-2024-100288,CUST-12798,2024-01-24,Delivered,Virginia Beach,VA,9.99,7
ORD-2024-100289,CUST-10530,2024-01-24,Delivered,Scranton,PA,9.99,4
ORD-2024-100290,CUST-13593,2024-01-24,Processing,Birmingham,AL,9.99,0
ORD-2024-100291,CUST-12860,2024-01-24,Delivered,Kenosha,WI,14.99,4
ORD-2024-100292,CUST-11738,2024-01-24,Delivered,New Orleans,LA,9.99,6
ORD-2024-100293,CUST-11242,2024-01-24,Delivered,Birmingham,AL,14.99,4
ORD-2024-100294,CUST-11647,2024-01-24,Returned,Ann Arbor,MI,14.99,7
ORD-2024-100295,CUST-10941,2024-01-24,Delivered,Aurora,IL,19.99,5
ORD-2024-100296,CUST-10461,2024-01-24,Delivered,Mobile,AL,0.0,3
ORD-2024-100297,CUST-11814,2024-01-25,Delivered,Baltimore,MD,4.99,5
ORD-2024-100298,CUST-13685,2024-01-25,Delivered,Cincinnati,OH,4.99,4
ORD-2024-100299,CUST-14680,2024-01-25,Delivered,Newport News,VA,9.99,6
ORD-2024-100300,CUST-14395,2024-01-25,Delivered,Fresno,CA,19.99,6
ORD-2024-100301,CUST-12630,2024-01-25,Delivered,Aurora,IL,19.99,5
ORD-2024-100302,CUST-10717,2024-01-25,Delivered,Charleston,SC,4.99,7
ORD-2024-100303,CUST-11850,2024-01-25,Delivered,Greenville,SC,0.0,6
ORD-2024-100304,CUST-12767,2024-01-25,Delivered,El Paso,TX,14.99,4
ORD-2024-100305,CUST-11642,2024-01-25,Delivered,Springfield,MA,9.99,7
ORD-2024-100306,CUST-12932,2024-01-25,Delivered,Evansville,IN,4.99,5
ORD-2024-100307,CUST-10518,2024-01-25,Delivered,Knoxville,TN,0.0,2
ORD-2024-100308,CUST-10893,2024-01-26,Delivered,Newark,NJ,19.99,2
ORD-2024-100309,CUST-12469,2024-01-26,Delivered,Newport News,VA,9.99,6
ORD-2024-100310,CUST-12717,2024-01-26,Delivered,Chattanooga,TN,0.0,7
ORD-2024-100311,CUST-13685,2024-01-26,Delivered,Cincinnati,OH,0.0,2
ORD-2024-100312,CUST-12672,2024-01-26,Delivered,Macon,GA,14.99,3
ORD-2024-100313,CUST-11716,2024-01-26,Delivered,Chicago,IL,9.99,2
ORD-2024-100314,CUST-10537,2024-01-26,Processing,Mesa,AZ,19.99,0
ORD-2024-100315,CUST-13594,2024-01-26,Delivered,Lexington,KY,0.0,2
ORD-2024-100316,CUST-15464,2024-01-26,Delivered,Sparks,NV,0.0,5
ORD-2024-100317,CUST-10085,2024-01-26,Shipped,Denver,CO,19.99,2
