order_item_id,order_id,product_id,quantity,unit_price,unit_cost,discount_rate,gross_revenue,discount_amount,net_revenue,total_cost,profit
ITEM-500058,ORD-2024-100034,PROD-1487,3,79.0,22.0,0.15,237.0,35.55,201.45,66.0,135.45
ITEM-500059,ORD-2024-100035,PROD-1066,2,293.12,106.25,0.05,586.24,29.31,556.93,212.5,344.43
ITEM-500060,ORD-2024-100036,PROD-1284,1,38.64,10.8,0.0,38.64,0.0,38.64,10.8,27.84
ITEM-500061,ORD-2024-100036,PROD-1498,1,152.32,43.75,0.0,152.32,0.0,152.32,43.75,108.57
ITEM-500062,ORD-2024-100037,PROD-1347,3,529.82,184.0,0.0,1589.46,0.0,1589.46,552.0,1037.46
ITEM-500063,ORD-2024-100038,PROD-1198,2,89.0,22.0,0.15,178.0,26.7,151.3,44.0,107.3
ITEM-500064,ORD-2024-100038,PROD-1387,1,46.02,13.8,0.2,46.02,9.2,36.82,13.8,23.02
ITEM-500065,ORD-2024-100038,PROD-1342,1,139.0,45.0,0.1,139.0,13.9,125.1,45.0,80.1
ITEM-500066,ORD-2024-100038,PROD-1192,4,208.6,65.25,0.0,834.4,0.0,834.4,261.0,573.4
ITEM-500067,ORD-2024-100039,PROD-1398,1,99.0,34.0,0.15,99.0,14.85,84.15,34.0,50.15
ITEM-500068,ORD-2024-100040,PROD-1207,2,54.0,12.0,0.1,108.0,10.8,97.2,24.0,73.2
ITEM-500069,ORD-2024-100040,PROD-1155,2,116.82,43.7,0.0,233.64,0.0,233.64,87.4,146.24
ITEM-500070,ORD-2024-100041,PROD-1272,2,95.2,23.2,0.0,190.4,0.0,190.4,46.4,144.0
ITEM-500071,ORD-2024-100042,PROD-1258,1,147.2,43.75,0.0,147.2,0.0,147.2,43.75,103.45
ITEM-500072,ORD-2024-100042,PROD-1344,3,194.6,65.25,0.15,583.8,87.57,496.23,195.75,300.48
ITEM-500073,ORD-2024-100043,PROD-1510,1,35.0,10.0,0.0,35.0,0.0,35.0,10.0,25.0
ITEM-500074,ORD-2024-100044,PROD-1324,5,367.08,126.0,0.0,1835.4,0.0,1835.4,630.0,1205.4
ITEM-500075,ORD-2024-100045,PROD-1552,1,45.0,14.0,0.0,45.0,0.0,45.0,14.0,31.0
ITEM-500076,ORD-2024-100045,PROD-1342,2,139.0,45.0,0.0,278.0,0.0,278.0,90.0,188.0
ITEM-500077,ORD-2024-100046,PROD-1516,1,275.08,99.0,0.05,275.08,13.75,261.33,99.0,162.33
ITEM-500078,ORD-2024-100046,PROD-1525,1,42.0,12.0,0.1,42.0,4.2,37.8,12.0,25.8
ITEM-500079,ORD-2024-100046,PROD-1205,1,54.0,12.0,,54.0,0.0,54.0,12.0,42.0
ITEM-500080,ORD-2024-100047,PROD-1481,2,79.0,22.0,0.0,158.0,0.0,158.0,44.0,114.0
ITEM-500081,ORD-2024-100048,PROD-1071,1,229.0,85.0,0.25,229.0,57.25,171.75,85.0,86.75
ITEM-500082,ORD-2024-100049,PROD-1126,3,59.0,18.0,0.0,177.0,0.0,177.0,54.0,123.0
ITEM-500083,ORD-2024-100050,PROD-1544,2,656.6,232.0,0.0,1313.2,0.0,1313.2,464.0,849.2
ITEM-500084,ORD-2024-100051,PROD-1525,1,42.0,12.0,0.0,42.0,0.0,42.0,12.0,30.0
ITEM-500085,ORD-2024-100051,PROD-1140,1,41.4,12.6,0.15,41.4,6.21,35.19,12.6,22.59
ITEM-500086,ORD-2024-100051,PROD-1311,1,89.0,25.0,0.0,89.0,0.0,89.0,25.0,64.0
ITEM-500087,ORD-2024-100051,PROD-1112,1,166.6,58.0,0.1,166.6,16.66,149.94,58.0,91.94
ITEM-500088,ORD-2024-100052,PROD-1514,1,382.72,137.5,0.0,382.72,0.0,382.72,137.5,245.22
ITEM-500089,ORD-2024-100053,PROD-1344,4,194.6,65.25,0.15,778.4,116.76,661.64,261.0,400.64
ITEM-500090,ORD-2024-100053,PROD-1532,1,18.4,4.5,0.0,18.4,0.0,18.4,4.5,13.9
ITEM-500091,ORD-2024-100054,PROD-1466,1,88.32,25.0,0.1,88.32,8.83,79.49,25.0,54.49
ITEM-500092,ORD-2024-100054,PROD-1395,1,116.82,39.1,0.05,116.82,5.84,110.98,39.1,71.88
ITEM-500093,ORD-2024-100054,PROD-1378,1,121.6,35.0,0.0,121.6,0.0,121.6,35.0,86.6
ITEM-500094,ORD-2024-100054,PROD-1215,1,135.0,36.0,,135.0,33.75,101.25,36.0,65.25
ITEM-500095,ORD-2024-100055,PROD-1401,1,25.0,8.0,0.0,25.0,0.0,25.0,8.0,17.0
ITEM-500096,ORD-2024-100055,PROD-1147,1,57.82,18.4,0.2,57.82,11.56,46.26,18.4,27.86
ITEM-500097,ORD-2024-100055,PROD-1224,3,180.6,55.1,0.05,541.8,27.09,514.71,165.3,349.41
ITEM-500098,ORD-2024-100055,PROD-1390,1,39.0,12.0,0.15,39.0,5.85,33.15,12.0,21.15
ITEM-500099,ORD-2024-100056,PROD-1177,1,85.0,24.0,0.0,85.0,0.0,85.0,24.0,61.0
ITEM-500100,ORD-2024-100056,PROD-1503,2,119.0,35.0,0.0,238.0,0.0,238.0,70.0,168.0
ITEM-500101,ORD-2024-100056,PROD-1469,1,69.0,20.0,0.1,69.0,6.9,62.1,20.0,42.1
ITEM-500102,ORD-2024-100057,PROD-1135,1,29.0,9.0,0.2,29.0,5.8,23.2,9.0,14.2
ITEM-500103,ORD-2024-100057,PROD-1521,1,42.0,12.0,0.2,42.0,8.4,33.6,12.0,21.6
ITEM-500104,ORD-2024-100058,PROD-1080,1,208.6,65.25,0.1,208.6,20.86,187.74,65.25,122.49
ITEM-500105,ORD-2024-100059,PROD-1118,1,189.0,70.0,0.0,189.0,0.0,189.0,70.0,119.0
ITEM-500106,ORD-2024-100059,PROD-1238,2,140.0,42.0,0.25,280.0,70.0,210.0,84.0,126.0
ITEM-500107,ORD-2024-100059,PROD-1197,1,89.0,22.0,0.15,89.0,13.35,75.65,22.0,53.65
ITEM-500108,ORD-2024-100060,PROD-1546,3,229.12,68.75,0.0,687.36,0.0,687.36,206.25,481.11
ITEM-500109,ORD-2024-100060,PROD-1170,1,83.2,22.5,0.1,83.2,8.32,74.88,22.5,52.38
ITEM-500110,ORD-2024-100061,PROD-1110,1,119.0,40.0,0.05,119.0,5.95,113.05,40.0,73.05
ITEM-500111,ORD-2024-100062,PROD-1177,1,85.0,24.0,0.0,85.0,0.0,85.0,24.0,61.0
ITEM-500112,ORD-2024-100063,PROD-1129,2,29.0,9.0,0.15,58.0,8.7,49.3,18.0,31.3
ITEM-500113,ORD-2024-100064,PROD-1058,3,446.72,200.0,0.0,1340.16,0.0,1340.16,600.0,740.16
ITEM-500114,ORD-2024-100064,PROD-1051,1,647.82,299.0,0.2,647.82,129.56,518.26,299.0,219.26
ITEM-500115,ORD-2024-100065,PROD-1146,1,62.72,20.0,0.0,62.72,0.0,62.72,20.0,42.72
ITEM-500116,ORD-2024-100066,PROD-1071,1,229.0,85.0,0.0,229.0,0.0,229.0,85.0,144.0
ITEM-500117,ORD-2024-100067,PROD-1220,1,118.68,34.2,0.0,118.68,0.0,118.68,34.2,84.48
ITEM-500118,ORD-2024-100068,PROD-1509,1,35.0,10.0,0.15,35.0,5.25,29.75,10.0,19.75
ITEM-500119,ORD-2024-100068,PROD-1348,1,413.08,144.0,0.0,413.08,0.0,413.08,144.0,269.08
ITEM-500120,ORD-2024-100068,PROD-1320,3,166.6,55.1,0.0,499.8,0.0,499.8,165.3,334.5
ITEM-500121,ORD-2024-100068,PROD-1548,1,164.68,49.5,0.0,164.68,0.0,164.68,49.5,115.18
ITEM-500122,ORD-2024-100069,PROD-1459,1,34.22,10.35,0.15,34.22,5.13,29.09,10.35,18.74
ITEM-500123,ORD-2024-100069,PROD-1039,1,899.0,420.0,0.1,899.0,89.9,809.1,420.0,389.1
ITEM-500124,ORD-2024-100070,PROD-1096,2,460.6,203.0,0.15,921.2,138.18,783.02,406.0,377.02
ITEM-500125,ORD-2024-100071,PROD-1121,1,59.0,18.0,0.0,59.0,0.0,59.0,18.0,41.0
ITEM-500126,ORD-2024-100071,PROD-1171,1,76.7,20.7,0.0,76.7,0.0,76.7,20.7,56.0
ITEM-500127,ORD-2024-100071,PROD-1538,2,600.32,200.0,0.1,1200.64,120.06,1080.58,400.0,680.58
ITEM-500128,ORD-2024-100072,PROD-1510,1,35.0,10.0,0.05,35.0,1.75,33.25,10.0,23.25
ITEM-500129,ORD-2024-100073,PROD-1114,2,241.92,87.5,0.0,483.84,0.0,483.84,175.0,308.84
ITEM-500130,ORD-2024-100074,PROD-1253,1,55.0,15.0,0.0,55.0,0.0,55.0,15.0,40.0
ITEM-500131,ORD-2024-100075,PROD-1335,1,79.0,22.0,0.1,79.0,7.9,71.1,22.0,49.1
ITEM-500132,ORD-2024-100076,PROD-1523,1,49.56,13.8,0.0,49.56,0.0,49.56,13.8,35.76
ITEM-500133,ORD-2024-100076,PROD-1137,4,45.0,14.0,0.2,180.0,36.0,144.0,56.0,88.0
ITEM-500134,ORD-2024-100076,PROD-1439,3,26.0,7.0,0.1,78.0,7.8,70.2,21.0,49.2
ITEM-500135,ORD-2024-100077,PROD-1016,1,1678.6,754.0,0.05,1678.6,83.93,1594.67,754.0,840.67
ITEM-500136,ORD-2024-100077,PROD-1322,3,510.72,175.0,0.0,1532.16,0.0,1532.16,525.0,1007.16
ITEM-500137,ORD-2024-100078,PROD-1349,2,449.0,160.0,0.15,898.0,134.7,763.3,320.0,443.3
ITEM-500138,ORD-2024-100079,PROD-1462,2,29.0,9.0,0.1,58.0,5.8,52.2,18.0,34.2
ITEM-500139,ORD-2024-100080,PROD-1281,2,42.0,12.0,0.05,84.0,4.2,79.8,24.0,55.8
ITEM-500140,ORD-2024-100081,PROD-1045,1,1599.0,780.0,0.2,1599.0,319.8,1279.2,780.0,499.2
ITEM-500141,ORD-2024-100082,PROD-1108,2,109.48,36.0,0.0,218.96,0.0,218.96,72.0,146.96
ITEM-500142,ORD-2024-100083,PROD-1169,1,65.0,18.0,0.05,65.0,3.25,61.75,18.0,43.75
ITEM-500143,ORD-2024-100084,PROD-1277,1,195.0,60.0,0.25,195.0,48.75,146.25,60.0,86.25
ITEM-500144,ORD-2024-100084,PROD-1190,1,149.0,45.0,0.25,149.0,37.25,111.75,45.0,66.75
ITEM-500145,ORD-2024-100085,PROD-1238,2,140.0,42.0,0.0,280.0,0.0,280.0,84.0,196.0
ITEM-500146,ORD-2024-100085,PROD-1249,2,55.0,15.0,0.05,110.0,5.5,104.5,30.0,74.5
ITEM-500147,ORD-2024-100085,PROD-1140,2,41.4,12.6,0.1,82.8,8.28,74.52,25.2,49.32
ITEM-500148,ORD-2024-100086,PROD-1138,1,57.6,17.5,0.0,57.6,0.0,57.6,17.5,40.1
ITEM-500149,ORD-2024-100086,PROD-1262,2,115.0,35.0,0.15,230.0,34.5,195.5,70.0,125.5
ITEM-500150,ORD-2024-100087,PROD-1546,1,229.12,68.75,0.2,229.12,45.82,183.3,68.75,114.55
ITEM-500151,ORD-2024-100088,PROD-1214,1,135.0,36.0,0.15,135.0,20.25,114.75,36.0,78.75
ITEM-500152,ORD-2024-100089,PROD-1499,1,140.42,40.25,0.1,140.42,14.04,126.38,40.25,86.13
ITEM-500153,ORD-2024-100089,PROD-1117,1,189.0,70.0,0.0,189.0,0.0,189.0,70.0,119.0
ITEM-500154,ORD-2024-100090,PROD-1093,2,329.0,140.0,0.15,658.0,98.7,559.3,280.0,279.3
ITEM-500155,ORD-2024-100090,PROD-1081,1,79.0,28.0,0.2,79.0,15.8,63.2,28.0,35.2
ITEM-500156,ORD-2024-100091,PROD-1330,1,101.12,27.5,0.0,101.12,0.0,101.12,27.5,73.62
ITEM-500157,ORD-2024-100092,PROD-1037,1,899.0,420.0,0.05,899.0,44.95,854.05,420.0,434.05
ITEM-500158,ORD-2024-100093,PROD-1283,1,49.56,13.8,0.25,49.56,12.39,37.17,13.8,23.37
ITEM-500159,ORD-2024-100094,PROD-1022,1,199.0,95.0,0.0,199.0,0.0,199.0,95.0,104.0
ITEM-500160,ORD-2024-100095,PROD-1065,2,229.0,85.0,0.05,458.0,22.9,435.1,170.0,265.1
ITEM-500161,ORD-2024-100095,PROD-1471,1,69.0,20.0,0.0,69.0,0.0,69.0,20.0,49.0
ITEM-500162,ORD-2024-100096,PROD-1245,1,160.0,48.0,0.0,160.0,0.0,160.0,48.0,112.0
ITEM-500163,ORD-2024-100096,PROD-1199,1,89.0,22.0,0.0,89.0,0.0,89.0,22.0,67.0
ITEM-500164,ORD-2024-100096,PROD-1404,1,23.0,7.2,0.2,23.0,4.6,18.4,7.2,11.2
ITEM-500165,ORD-2024-100096,PROD-1118,1,189.0,70.0,0.2,189.0,37.8,151.2,70.0,81.2
ITEM-500166,ORD-2024-100097,PROD-1435,1,30.68,8.05,0.0,30.68,0.0,30.68,8.05,22.63
ITEM-500167,ORD-2024-100098,PROD-1175,1,65.0,18.0,0.0,65.0,0.0,65.0,18.0,47.0
ITEM-500168,ORD-2024-100098,PROD-1511,1,35.0,10.0,0.1,35.0,3.5,31.5,10.0,21.5
ITEM-500169,ORD-2024-100099,PROD-1269,1,68.0,16.0,0.05,68.0,3.4,64.6,16.0,48.6
ITEM-500170,ORD-2024-100099,PROD-1185,1,149.0,45.0,0.0,149.0,0.0,149.0,45.0,104.0
ITEM-500171,ORD-2024-100100,PROD-1471,2,69.0,20.0,0.1,138.0,13.8,124.2,40.0,84.2
ITEM-500172,ORD-2024-100100,PROD-1182,1,85.0,24.0,0.0,85.0,0.0,85.0,24.0,61.0
ITEM-500173,ORD-2024-100101,PROD-1024,1,278.6,137.75,0.05,278.6,13.93,264.67,137.75,126.92
ITEM-500174,ORD-2024-100101,PROD-1200,1,124.6,31.9,0.1,124.6,12.46,112.14,31.9,80.24
ITEM-500175,ORD-2024-100102,PROD-1337,4,139.0,45.0,0.0,556.0,0.0,556.0,180.0,376.0
ITEM-500176,ORD-2024-100103,PROD-1113,1,189.0,70.0,0.2,189.0,37.8,151.2,70.0,81.2
ITEM-500177,ORD-2024-100104,PROD-1085,1,79.0,28.0,0.1,79.0,7.9,71.1,28.0,43.1
ITEM-500178,ORD-2024-100104,PROD-1190,2,149.0,45.0,0.05,298.0,14.9,283.1,90.0,193.1
ITEM-500179,ORD-2024-100105,PROD-1505,1,35.0,10.0,0.0,35.0,0.0,35.0,10.0,25.0
ITEM-500180,ORD-2024-100105,PROD-1385,1,39.0,12.0,0.05,39.0,1.95,37.05,12.0,25.05
ITEM-500181,ORD-2024-100106,PROD-1233,1,140.0,42.0,0.05,140.0,7.0,133.0,42.0,91.0
ITEM-500182,ORD-2024-100107,PROD-1502,1,119.0,35.0,0.2,119.0,23.8,95.2,35.0,60.2
ITEM-500183,ORD-2024-100108,PROD-1072,1,320.6,123.25,0.2,320.6,64.12,256.48,123.25,133.23
ITEM-500184,ORD-2024-100108,PROD-1037,1,899.0,420.0,0.15,899.0,134.85,764.15,420.0,344.15
ITEM-500185,ORD-2024-100109,PROD-1022,3,199.0,95.0,0.2,597.0,119.4,477.6,285.0,192.6
ITEM-500186,ORD-2024-100109,PROD-1396,1,91.08,30.6,0.0,91.08,0.0,91.08,30.6,60.48
ITEM-500187,ORD-2024-100109,PROD-1307,1,105.02,28.75,0.0,105.02,0.0,105.02,28.75,76.27
ITEM-500188,ORD-2024-100110,PROD-1139,1,53.1,16.1,0.1,53.1,5.31,47.79,16.1,31.69
ITEM-500189,ORD-2024-100110,PROD-1387,1,46.02,13.8,0.15,46.02,6.9,39.12,13.8,25.32
ITEM-500190,ORD-2024-100111,PROD-1536,3,28.0,7.25,0.2,84.0,16.8,67.2,21.75,45.45
ITEM-500191,ORD-2024-100111,PROD-1114,1,241.92,87.5,0.15,241.92,36.29,205.63,87.5,118.13
ITEM-500192,ORD-2024-100111,PROD-1483,1,93.22,25.3,0.2,93.22,18.64,74.58,25.3,49.28
ITEM-500193,ORD-2024-100112,PROD-1081,1,79.0,28.0,0.0,79.0,0.0,79.0,28.0,51.0
ITEM-500194,ORD-2024-100112,PROD-1482,1,101.12,27.5,0.0,101.12,0.0,101.12,27.5,73.62
ITEM-500195,ORD-2024-100113,PROD-1437,1,26.0,7.0,0.0,26.0,0.0,26.0,7.0,19.0
ITEM-500196,ORD-2024-100114,PROD-1453,5,89.0,28.0,0.1,445.0,44.5,400.5,140.0,260.5
ITEM-500197,ORD-2024-100115,PROD-1161,2,48.0,14.0,0.1,96.0,9.6,86.4,28.0,58.4
ITEM-500198,ORD-2024-100115,PROD-1135,2,29.0,9.0,0.05,58.0,2.9,55.1,18.0,37.1
ITEM-500199,ORD-2024-100115,PROD-1131,1,34.22,10.35,0.3,34.22,10.27,23.95,10.35,13.6
ITEM-500200,ORD-2024-100115,PROD-1037,1,899.0,420.0,0.0,899.0,0.0,899.0,420.0,479.0
ITEM-500201,ORD-2024-100116,PROD-1406,1,25.0,8.0,0.05,25.0,1.25,23.75,8.0,15.75
ITEM-500202,ORD-2024-100117,PROD-1471,1,69.0,20.0,0.0,69.0,0.0,69.0,20.0,49.0
ITEM-500203,ORD-2024-100117,PROD-1383,1,95.0,28.0,0.0,95.0,0.0,95.0,28.0,67.0
ITEM-500204,ORD-2024-100118,PROD-1368,1,600.6,217.5,0.15,600.6,90.09,510.51,217.5,293.01
ITEM-500205,ORD-2024-100119,PROD-1247,1,160.0,48.0,0.15,160.0,24.0,136.0,48.0,88.0
ITEM-500206,ORD-2024-100120,PROD-1494,1,52.0,16.0,0.0,52.0,0.0,52.0,16.0,36.0
ITEM-500207,ORD-2024-100121,PROD-1534,1,20.0,5.0,0.0,20.0,0.0,20.0,5.0,15.0
ITEM-500208,ORD-2024-100122,PROD-1509,1,35.0,10.0,0.0,35.0,0.0,35.0,10.0,25.0
ITEM-500209,ORD-2024-100123,PROD-1359,3,259.0,85.0,0.05,777.0,38.85,738.15,255.0,483.15
ITEM-500210,ORD-2024-100124,PROD-1388,1,35.88,10.8,0.0,35.88,0.0,35.88,10.8,25.08
ITEM-500211,ORD-2024-100125,PROD-1136,3,40.6,13.05,0.0,121.8,0.0,121.8,39.15,82.65
ITEM-500212,ORD-2024-100126,PROD-1383,1,95.0,28.0,0.15,95.0,14.25,80.75,28.0,52.75
ITEM-500213,ORD-2024-100126,PROD-1081,1,79.0,28.0,0.0,79.0,0.0,79.0,28.0,51.0
ITEM-500214,ORD-2024-100127,PROD-1019,1,234.82,109.25,0.15,234.82,35.22,199.6,109.25,90.35
ITEM-500215,ORD-2024-100128,PROD-1071,1,229.0,85.0,0.0,229.0,0.0,229.0,85.0,144.0
ITEM-500216,ORD-2024-100128,PROD-1479,1,24.0,7.0,0.0,24.0,0.0,24.0,7.0,17.0
ITEM-500217,ORD-2024-100128,PROD-1223,1,129.0,38.0,0.0,129.0,0.0,129.0,38.0,91.0
ITEM-500218,ORD-2024-100128,PROD-1026,1,1790.72,850.0,0.25,1790.72,447.68,1343.04,850.0,493.04
ITEM-500219,ORD-2024-100129,PROD-1069,1,229.0,85.0,0.05,229.0,11.45,217.55,85.0,132.55
ITEM-500220,ORD-2024-100130,PROD-1243,3,188.8,55.2,0.2,566.4,113.28,453.12,165.6,287.52
ITEM-500221,ORD-2024-100130,PROD-1264,1,161.0,50.75,0.15,161.0,24.15,136.85,50.75,86.1
ITEM-500222,ORD-2024-100130,PROD-1179,1,100.3,27.6,0.0,100.3,0.0,100.3,27.6,72.7
ITEM-500223,ORD-2024-100130,PROD-1386,1,49.92,15.0,0.0,49.92,0.0,49.92,15.0,34.92
ITEM-500224,ORD-2024-100131,PROD-1433,1,26.0,7.0,0.0,26.0,0.0,26.0,7.0,19.0
ITEM-500225,ORD-2024-100132,PROD-1402,1,32.0,10.0,0.1,32.0,3.2,28.8,10.0,18.8
ITEM-500226,ORD-2024-100132,PROD-1169,2,65.0,18.0,0.0,130.0,0.0,130.0,36.0,94.0
ITEM-500227,ORD-2024-100132,PROD-1170,1,83.2,22.5,0.0,83.2,0.0,83.2,22.5,60.7
ITEM-500228,ORD-2024-100132,PROD-1005,1,799.0,350.0,0.2,799.0,159.8,639.2,350.0,289.2
ITEM-500229,ORD-2024-100133,PROD-1232,1,168.0,46.4,0.1,168.0,16.8,151.2,46.4,104.8
ITEM-500230,ORD-2024-100134,PROD-1391,2,39.0,12.0,0.0,78.0,0.0,78.0,24.0,54.0
ITEM-500231,ORD-2024-100135,PROD-1360,1,362.6,123.25,0.05,362.6,18.13,344.47,123.25,221.22
ITEM-500232,ORD-2024-100136,PROD-1344,2,194.6,65.25,0.1,389.2,38.92,350.28,130.5,219.78
ITEM-500233,ORD-2024-100137,PROD-1530,1,25.6,6.25,0.0,25.6,0.0,25.6,6.25,19.35
ITEM-500234,ORD-2024-100138,PROD-1050,1,702.72,325.0,0.0,702.72,0.0,702.72,325.0,377.72
