payment_id,order_id,payment_date,payment_method,payment_status,amount
PAY-700030,ORD-2024-100030,2024-01-03,Credit Card,Success,48.49
PAY-700031,ORD-2024-100031,2024-01-03,Credit Card,Success,87.27
PAY-700032,ORD-2024-100032,2024-01-04,PayPal,Success,1260.6
PAY-700033,ORD-2024-100033,2024-01-04,Apple Pay,Success,1809.95
PAY-700034,ORD-2024-100034,2024-01-03,Credit Card,Success,201.45
PAY-700035,ORD-2024-100035,2024-01-03,Debit Card,Success,561.92
PAY-700036,ORD-2024-100036,2024-01-03,Credit Card,Success,205.95
PAY-700037,ORD-2024-100037,2024-01-04,Debit Card,Success,1604.45
PAY-700038,ORD-2024-100038,2024-01-03,Debit Card,Success,1152.61
PAY-700039,ORD-2024-100039,2024-01-03,Credit Card,Success,84.15
PAY-700040,ORD-2024-100040,2024-01-03,PayPal,Success,340.83
PAY-700041,ORD-2024-100041,2024-01-04,Credit Card,Success,195.39
PAY-700042,ORD-2024-100042,2024-01-04,Credit Card,Success,658.42
PAY-700043,ORD-2024-100043,2024-01-04,Debit Card,Success,35.0
PAY-700044,ORD-2024-100044,2024-01-04,Debit Card,Success,1840.39
PAY-700045,ORD-2024-100045,2024-01-04,Credit Card,Success,327.99
PAY-700046,ORD-2024-100046,2024-01-04,Credit Card,Success,373.12
PAY-700047,ORD-2024-100047,2024-01-04,Debit Card,Success,167.99
PAY-700048,ORD-2024-100048,2024-01-04,Credit Card,Success,181.74
PAY-700049,ORD-2024-100049,2024-01-04,PayPal,Success,196.99
PAY-700050,ORD-2024-100050,2024-01-05,PayPal,Success,1328.19
PAY-700051,ORD-2024-100051,2024-01-04,PayPal,Success,316.13
PAY-700052,ORD-2024-100052,2024-01-05,Credit Card,Success,392.71
PAY-700053,ORD-2024-100053,2024-01-05,PayPal,Success,685.03
PAY-700054,ORD-2024-100054,2024-01-05,Credit Card,Success,428.31
PAY-700055,ORD-2024-100055,2024-01-05,Credit Card,Success,639.11
PAY-700056,ORD-2024-100056,2024-01-05,Apple Pay,Success,385.1
PAY-700057,ORD-2024-100057,2024-01-05,Credit Card,Success,71.79
PAY-700058,ORD-2024-100058,2024-01-05,Credit Card,Success,202.73
PAY-700059,ORD-2024-100059,2024-01-05,PayPal,Success,489.64
PAY-700060,ORD-2024-100060,2024-01-07,Credit Card,Success,762.24
PAY-700061,ORD-2024-100061,2024-01-06,Credit Card,Success,113.05
PAY-700062,ORD-2024-100062,2024-01-07,PayPal,Success,104.99
PAY-700063,ORD-2024-100063,2024-01-06,BNPL,Success,64.29
PAY-700064,ORD-2024-100064,2024-01-06,BNPL,Success,1878.41
PAY-700065,ORD-2024-100065,2024-01-07,Credit Card,Success,77.71
PAY-700066,ORD-2024-100066,2024-01-06,Credit Card,Success,229.0
PAY-700067,ORD-2024-100067,2024-01-07,Apple Pay,Success,118.68
PAY-700068,ORD-2024-100068,2024-01-07,Credit Card,Success,1107.31
PAY-700069,ORD-2024-100069,2024-01-06,Apple Pay,Success,843.18
PAY-700070,ORD-2024-100070,2024-01-06,Credit Card,Success,793.01
PAY-700071,ORD-2024-100071,2024-01-06,Apple Pay,Success,1231.27
PAY-700072,ORD-2024-100072,2024-01-06,Credit Card,Success,48.24
PAY-700073,ORD-2024-100073,2024-01-06,Credit Card,Success,498.83
PAY-700074,ORD-2024-100074,2024-01-07,Debit Card,Success,74.99
PAY-700075,ORD-2024-100075,2024-01-07,PayPal,Success,76.09
PAY-700076,ORD-2024-100076,2024-01-08,Credit Card,Success,283.75
PAY-700077,ORD-2024-100077,2024-01-07,Debit Card,Success,3131.82
PAY-700078,ORD-2024-100078,2024-01-07,Credit Card,Success,768.29
PAY-700079,ORD-2024-100079,2024-01-07,Credit Card,Success,67.19
PAY-700080,ORD-2024-100080,2024-01-07,Apple Pay,Success,79.8
PAY-700081,ORD-2024-100081,2024-01-07,Credit Card,Failed,1294.19
PAY-700082,ORD-2024-100082,2024-01-07,Debit Card,Success,223.95
PAY-700083,ORD-2024-100083,2024-01-07,Credit Card,Refunded,61.75
PAY-700084,ORD-2024-100084,2024-01-08,Credit Card,Success,272.99
PAY-700085,ORD-2024-100085,2024-01-07,Credit Card,Success,479.01
PAY-700086,ORD-2024-100086,2024-01-08,Credit Card,Success,263.09
PAY-700087,ORD-2024-100087,2024-01-09,Debit Card,Success,183.3
PAY-700088,ORD-2024-100088,2024-01-09,Debit Card,Success,119.74
PAY-700089,ORD-2024-100089,2024-01-08,Apple Pay,Success,335.37
PAY-700090,ORD-2024-100090,2024-01-09,Credit Card,Success,627.49
PAY-700091,ORD-2024-100091,2024-01-08,Debit Card,Success,106.11
PAY-700092,ORD-2024-100092,2024-01-08,Credit Card,Success,869.04
PAY-700093,ORD-2024-100093,2024-01-08,Debit Card,Success,52.16
PAY-700094,ORD-2024-100094,2024-01-08,PayPal,Success,218.99
PAY-700095,ORD-2024-100095,2024-01-08,PayPal,Success,514.09
PAY-700096,ORD-2024-100096,2024-01-08,Debit Card,Success,433.59
PAY-700097,ORD-2024-100097,2024-01-09,Credit Card,Success,40.67
PAY-700098,ORD-2024-100098,2024-01-09,PayPal,Refunded,116.49
PAY-700099,ORD-2024-100099,2024-01-08,PayPal,Success,233.59
PAY-700100,ORD-2024-100100,2024-01-10,BNPL,Success,224.19
PAY-700101,ORD-2024-100101,2024-01-09,PayPal,Success,396.8
PAY-700102,ORD-2024-100102,2024-01-09,PayPal,Success,565.99
PAY-700103,ORD-2024-100103,2024-01-10,Credit Card,Success,151.2
PAY-700104,ORD-2024-100104,2024-01-09,Credit Card,Success,364.19
PAY-700105,ORD-2024-100105,2024-01-10,PayPal,Success,72.05
PAY-700106,ORD-2024-100106,2024-01-09,PayPal,Success,137.99
PAY-700107,ORD-2024-100107,2024-01-09,Credit Card,Success,115.19
PAY-700108,ORD-2024-100108,2024-01-09,Apple Pay,Success,1025.62
PAY-700109,ORD-2024-100109,2024-01-09,Debit Card,Failed,673.7
PAY-700110,ORD-2024-100110,2024-01-09,Apple Pay,Success,91.9
PAY-700111,ORD-2024-100111,2024-01-09,Credit Card,Success,362.4
PAY-700112,ORD-2024-100112,2024-01-09,Apple Pay,Success,185.11
PAY-700113,ORD-2024-100113,2024-01-09,Credit Card,Refunded,30.99
PAY-700114,ORD-2024-100114,2024-01-10,PayPal,Success,410.49
PAY-700115,ORD-2024-100115,2024-01-10,Credit Card,Success,1069.44
PAY-700116,ORD-2024-100116,2024-01-10,Credit Card,Success,23.75
PAY-700117,ORD-2024-100117,2024-01-10,Credit Card,Success,178.99
PAY-700118,ORD-2024-100118,2024-01-10,Credit Card,Success,515.5
PAY-700119,ORD-2024-100119,2024-01-10,PayPal,Success,140.99
PAY-700120,ORD-2024-100120,2024-01-10,Apple Pay,Success,52.0
PAY-700121,ORD-2024-100121,2024-01-10,Credit Card,Success,24.99
PAY-700122,ORD-2024-100122,2024-01-10,Debit Card,Success,39.99
PAY-700123,ORD-2024-100123,2024-01-10,Credit Card,Success,738.15
PAY-700124,ORD-2024-100124,2024-01-11,PayPal,Success,45.87
PAY-700125,ORD-2024-100125,2024-01-11,PayPal,Success,141.79
PAY-700126,ORD-2024-100126,2024-01-10,Credit Card,Success,179.74
PAY-700127,ORD-2024-100127,2024-01-10,PayPal,Success,199.6
PAY-700128,ORD-2024-100128,2024-01-10,PayPal,Success,1730.03
PAY-700129,ORD-2024-100129,2024-01-11,Debit Card,Success,222.54
PAY-700130,ORD-2024-100130,2024-01-11,Credit Card,Success,750.18
PAY-700131,ORD-2024-100131,2024-01-11,BNPL,Success,30.99
PAY-700132,ORD-2024-100132,2024-01-12,Credit Card,Failed,901.19
PAY-700133,ORD-2024-100133,2024-01-12,Apple Pay,Success,171.19
PAY-700134,ORD-2024-100134,2024-01-11,Apple Pay,Success,82.99
PAY-700135,ORD-2024-100135,2024-01-11,Credit Card,Refunded,354.46
PAY-700136,ORD-2024-100136,2024-01-12,Credit Card,Success,370.27
PAY-700137,ORD-2024-100137,2024-01-11,PayPal,Success,25.6
PAY-700138,ORD-2024-100138,2024-01-11,BNPL,Success,2042.06
PAY-700139,ORD-2024-100139,2024-01-11,Credit Card,Success,78.49
PAY-700140,ORD-2024-100140,2024-01-11,Debit Card,Success,908.16
PAY-700141,ORD-2024-100141,2024-01-11,PayPal,Success,91.19
PAY-700142,ORD-2024-100142,2024-01-13,Apple Pay,Success,139.09
PAY-700143,ORD-2024-100143,2024-01-12,Apple Pay,Success,183.19
PAY-700144,ORD-2024-100144,2024-01-13,Debit Card,Success,38.97
PAY-700145,ORD-2024-100145,2024-01-12,Credit Card,Success,40.29
PAY-700146,ORD-2024-100146,2024-01-12,Credit Card,Success,166.99
PAY-700147,ORD-2024-100147,2024-01-12,Credit Card,Success,57.6
PAY-700148,ORD-2024-100148,2024-01-12,Debit Card,Success,1694.73
PAY-700149,ORD-2024-100149,2024-01-12,Apple Pay,Success,113.28
PAY-700150,ORD-2024-100150,2024-01-12,Credit Card,Refunded,134.99
PAY-700151,ORD-2024-100151,2024-01-12,Credit Card,Success,290.76
PAY-700152,ORD-2024-100152,2024-01-13,Credit Card,Success,348.99
PAY-700153,ORD-2024-100153,2024-01-13,Credit Card,Success,398.99
PAY-700154,ORD-2024-100154,2024-01-13,Credit Card,Failed,442.56
PAY-700155,ORD-2024-100155,2024-01-13,Debit Card,Success,569.7
PAY-700156,ORD-2024-100156,2024-01-13,Apple Pay,Success,942.64
PAY-700157,ORD-2024-100157,2024-01-13,Credit Card,Success,902.39
PAY-700158,ORD-2024-100158,2024-01-13,PayPal,Success,119.2
PAY-700159,ORD-2024-100159,2024-01-14,Credit Card,Success,58.0
PAY-700160,ORD-2024-100160,2024-01-13,PayPal,Success,1332.23
PAY-700161,ORD-2024-100161,2024-01-14,Apple Pay,Success,3048.03
PAY-700162,ORD-2024-100162,2024-01-13,Credit Card,Success,283.91
PAY-700163,ORD-2024-100163,2024-01-14,PayPal,Success,1993.39
PAY-700164,ORD-2024-100164,2024-01-14,PayPal,Success,564.3
PAY-700165,ORD-2024-100165,2024-01-14,Credit Card,Success,198.99
PAY-700166,ORD-2024-100166,2024-01-14,Debit Card,Success,165.25
PAY-700167,ORD-2024-100167,2024-01-14,Credit Card,Success,91.09
PAY-700168,ORD-2024-100168,2024-01-14,Credit Card,Success,325.81
PAY-700169,ORD-2024-100169,2024-01-14,PayPal,Success,143.99
PAY-700170,ORD-2024-100170,2024-01-14,Credit Card,Success,26.1
PAY-700171,ORD-2024-100171,2024-01-14,Debit Card,Success,1676.72
PAY-700172,ORD-2024-100172,2024-01-14,Credit Card,Success,35.95
PAY-700173,ORD-2024-100173,2024-01-14,Apple Pay,Success,554.11
PAY-700174,ORD-2024-100174,2024-01-14,PayPal,Success,313.99
PAY-700175,ORD-2024-100175,2024-01-15,BNPL,Success,987.46
PAY-700176,ORD-2024-100176,2024-01-15,Debit Card,Success,126.61
PAY-700177,ORD-2024-100177,2024-01-16,Credit Card,Success,153.6
PAY-700178,ORD-2024-100178,2024-01-15,PayPal,Success,259.28
PAY-700179,ORD-2024-100179,2024-01-15,Credit Card,Success,1067.45
PAY-700180,ORD-2024-100180,2024-01-15,Credit Card,Success,982.67
PAY-700181,ORD-2024-100181,2024-01-16,Debit Card,Success,182.99
PAY-700182,ORD-2024-100182,2024-01-15,PayPal,Success,229.5
PAY-700183,ORD-2024-100183,2024-01-15,PayPal,Success,197.91
PAY-700184,ORD-2024-100184,2024-01-15,Debit Card,Success,108.99
PAY-700185,ORD-2024-100185,2024-01-15,Debit Card,Success,1731.11
PAY-700186,ORD-2024-100186,2024-01-15,Credit Card,Success,85.59
PAY-700187,ORD-2024-100187,2024-01-15,Debit Card,Success,515.16
PAY-700188,ORD-2024-100188,2024-01-16,PayPal,Success,264.99
PAY-700189,ORD-2024-100189,2024-01-16,BNPL,Success,64.99
PAY-700190,ORD-2024-100190,2024-01-16,Credit Card,Refunded,1939.39
PAY-700191,ORD-2024-100191,2024-01-16,Credit Card,Success,66.99
PAY-700192,ORD-2024-100192,2024-01-17,Credit Card,Success,47.19
PAY-700193,ORD-2024-100193,2024-01-16,PayPal,Success,120.59
PAY-700194,ORD-2024-100194,2024-01-17,Credit Card,Success,166.99
PAY-700195,ORD-2024-100195,2024-01-16,Credit Card,Success,60.8
PAY-700196,ORD-2024-100196,2024-01-16,PayPal,Success,505.44
PAY-700197,ORD-2024-100197,2024-01-16,PayPal,Success,30.99
PAY-700198,ORD-2024-100198,2024-01-16,Credit Card,Success,139.09
PAY-700199,ORD-2024-100199,2024-01-16,Debit Card,Success,279.12
PAY-700200,ORD-2024-100200,2024-01-16,Credit Card,Success,227.99
PAY-700201,ORD-2024-100201,2024-01-17,Credit Card,Success,43.99
PAY-700202,ORD-2024-100202,2024-01-17,PayPal,Success,849.87
PAY-700203,ORD-2024-100203,2024-01-18,Credit Card,Success,259.99
PAY-700204,ORD-2024-100204,2024-01-18,Debit Card,Success,159.3
PAY-700205,ORD-2024-100205,2024-01-17,Credit Card,Success,721.39
PAY-700206,ORD-2024-100206,2024-01-17,PayPal,Success,198.99
PAY-700207,ORD-2024-100207,2024-01-17,BNPL,Success,130.91
PAY-700208,ORD-2024-100208,2024-01-17,Credit Card,Success,126.85
PAY-700209,ORD-2024-100209,2024-01-17,PayPal,Success,880.04
PAY-700210,ORD-2024-100210,2024-01-17,Credit Card,Refunded,67.99
PAY-700211,ORD-2024-100211,2024-01-18,Credit Card,Success,67.99
PAY-700212,ORD-2024-100212,2024-01-17,Apple Pay,Success,748.13
PAY-700213,ORD-2024-100213,2024-01-17,Apple Pay,Success,58.09
PAY-700214,ORD-2024-100214,2024-01-18,Credit Card,Success,69.92
PAY-700215,ORD-2024-100215,2024-01-18,Credit Card,Success,124.49
PAY-700216,ORD-2024-100216,2024-01-18,PayPal,Success,110.7
PAY-700217,ORD-2024-100217,2024-01-19,Credit Card,Success,445.75
PAY-700218,ORD-2024-100218,2024-01-18,PayPal,Success,192.79
PAY-700219,ORD-2024-100219,2024-01-18,Apple Pay,Success,1517.7
PAY-700220,ORD-2024-100220,2024-01-18,PayPal,Success,100.6
PAY-700221,ORD-2024-100221,2024-01-18,Credit Card,Success,182.87
PAY-700222,ORD-2024-100222,2024-01-18,PayPal,Success,410.71
PAY-700223,ORD-2024-100223,2024-01-18,Credit Card,Success,94.14
PAY-700224,ORD-2024-100224,2024-01-18,Apple Pay,Success,495.19
PAY-700225,ORD-2024-100225,2024-01-19,Credit Card,Success,73.99
PAY-700226,ORD-2024-100226,2024-01-19,Debit Card,Success,378.19
PAY-700227,ORD-2024-100227,2024-01-20,Debit Card,Success,103.59
PAY-700228,ORD-2024-100228,2024-01-19,PayPal,Success,101.05
PAY-700229,ORD-2024-100229,2024-01-20,PayPal,Success,643.73
PAY-700230,ORD-2024-100230,2024-01-20,Credit Card,Success,62.24
PAY-700231,ORD-2024-100231,2024-01-19,Credit Card,Success,173.92
PAY-700232,ORD-2024-100232,2024-01-19,Credit Card,Success,776.82
PAY-700233,ORD-2024-100233,2024-01-19,Credit Card,Refunded,183.99
PAY-700234,ORD-2024-100234,2024-01-20,Credit Card,Success,152.22
PAY-700235,ORD-2024-100235,2024-01-20,Credit Card,Success,92.27
PAY-700236,ORD-2024-100236,2024-01-19,Credit Card,Success,605.31
PAY-700237,ORD-2024-100237,2024-01-21,Credit Card,Success,140.56
PAY-700238,ORD-2024-100238,2024-01-20,Credit Card,Success,65.09
PAY-700239,ORD-2024-100239,2024-01-20,Debit Card,Success,299.89
PAY-700240,ORD-2024-100240,2024-01-20,Credit Card,Success,86.67
PAY-700241,ORD-2024-100241,2024-01-21,Credit Card,Success,128.36
PAY-700242,ORD-2024-100242,2024-01-21,Credit Card,Success,1274.45
PAY-700243,ORD-2024-100243,2024-01-21,Credit Card,Success,149.99
PAY-700244,ORD-2024-100244,2024-01-21,Debit Card,Success,109.99
PAY-700245,ORD-2024-100245,2024-01-21,Debit Card,Success,358.99
PAY-700246,ORD-2024-100246,2024-01-21,Credit Card,Success,185.99
PAY-700247,ORD-2024-100247,2024-01-20,Credit Card,Success,604.99
PAY-700248,ORD-2024-100248,2024-01-20,Apple Pay,Success,598.17
PAY-700249,ORD-2024-100249,2024-01-21,Credit Card,Success,356.89
PAY-700250,ORD-2024-100250,2024-01-20,Apple Pay,Success,39.2
PAY-700251,ORD-2024-100251,2024-01-21,Credit Card,Success,215.03
PAY-700252,ORD-2024-100252,2024-01-21,Debit Card,Success,918.99
PAY-700253,ORD-2024-100253,2024-01-21,PayPal,Success,555.67
PAY-700254,ORD-2024-100254,2024-01-22,Credit Card,Success,2589.15
PAY-700255,ORD-2024-100255,2024-01-22,Debit Card,Success,535.15
PAY-700256,ORD-2024-100256,2024-01-21,Credit Card,Success,273.09
PAY-700257,ORD-2024-100257,2024-01-21,Credit Card,Success,111.59
PAY-700258,ORD-2024-100258,2024-01-22,Credit Card,Success,121.37
PAY-700259,ORD-2024-100259,2024-01-21,Credit Card,Refunded,1840.39
PAY-700260,ORD-2024-100260,2024-01-21,Credit Card,Refunded,1025.15
PAY-700261,ORD-2024-100261,2024-01-21,Credit Card,Success,114.65
PAY-700262,ORD-2024-100262,2024-01-22,Credit Card,Success,253.15
PAY-700263,ORD-2024-100263,2024-01-22,PayPal,Success,345.45
PAY-700264,ORD-2024-100264,2024-01-22,Debit Card,Success,103.99
PAY-700265,ORD-2024-100265,2024-01-22,Debit Card,Success,154.99
PAY-700266,ORD-2024-100266,2024-01-22,PayPal,Success,491.15
PAY-700267,ORD-2024-100267,2024-01-23,BNPL,Success,93.99
PAY-700268,ORD-2024-100268,2024-01-22,PayPal,Success,110.79
PAY-700269,ORD-2024-100269,2024-01-22,Debit Card,Success,823.33
PAY-700270,ORD-2024-100270,2024-01-23,Credit Card,Success,610.56
PAY-700271,ORD-2024-100271,2024-01-24,BNPL,Success,64.09
PAY-700272,ORD-2024-100272,2024-01-23,Debit Card,Success,435.53
PAY-700273,ORD-2024-100273,2024-01-23,PayPal,Success,178.0
PAY-700274,ORD-2024-100274,2024-01-23,Debit Card,Success,142.54
PAY-700275,ORD-2024-100275,2024-01-23,Apple Pay,Success,315.51
PAY-700276,ORD-2024-100276,2024-01-23,Credit Card,Success,39.31
PAY-700277,ORD-2024-100277,2024-01-23,Credit Card,Failed,304.92
PAY-700278,ORD-2024-100278,2024-01-23,Credit Card,Success,155.99
PAY-700279,ORD-2024-100279,2024-01-23,Credit Card,Refunded,4427.31
PAY-700280,ORD-2024-100280,2024-01-24,Debit Card,Success,263.39
PAY-700281,ORD-2024-100281,2024-01-25,Credit Card,Success,2724.57
PAY-700282,ORD-2024-100282,2024-01-24,Credit Card,Success,69.99
PAY-700283,ORD-2024-100283,2024-01-24,Debit Card,Success,1065.75
PAY-700284,ORD-2024-100284,2024-01-24,Credit Card,Success,312.55
PAY-700285,ORD-2024-100285,2024-01-24,Apple Pay,Success,240.31
PAY-700286,ORD-2024-100286,2024-01-24,PayPal,Refunded,387.71
PAY-700287,ORD-2024-100287,2024-01-24,PayPal,Success,375.99
PAY-700288,ORD-2024-100288,2024-01-24,PayPal,Success,167.99
PAY-700289,ORD-2024-100289,2024-01-24,Credit Card,Success,68.64
PAY-700290,ORD-2024-100290,2024-01-25,Credit Card,Success,673.09
PAY-700291,ORD-2024-100291,2024-01-25,Credit Card,Success,244.49
PAY-700292,ORD-2024-100292,2024-01-24,PayPal,Success,249.99
PAY-700293,ORD-2024-100293,2024-01-24,PayPal,Success,411.73
PAY-700294,ORD-2024-100294,2024-01-25,PayPal,Refunded,184.91
PAY-700295,ORD-2024-100295,2024-01-24,Debit Card,Success,620.59
PAY-700296,ORD-2024-100296,2024-01-24,PayPal,Success,185.0
PAY-700297,ORD-2024-100297,2024-01-25,Credit Card,Success,1187.54
PAY-700298,ORD-2024-100298,2024-01-25,Debit Card,Success,160.56
PAY-700299,ORD-2024-100299,2024-01-25,Credit Card,Success,366.99
PAY-700300,ORD-2024-100300,2024-01-25,Credit Card,Success,421.59
PAY-700301,ORD-2024-100301,2024-01-25,Debit Card,Success,291.29
PAY-700302,ORD-2024-100302,2024-01-25,Credit Card,Success,107.52
PAY-700303,ORD-2024-100303,2024-01-25,PayPal,Success,660.37
PAY-700304,ORD-2024-100304,2024-01-26,Credit Card,Success,185.04
PAY-700305,ORD-2024-100305,2024-01-25,Credit Card,Success,312.39
PAY-700306,ORD-2024-100306,2024-01-25,Credit Card,Success,143.23
PAY-700307,ORD-2024-100307,2024-01-25,Debit Card,Success,556.41
PAY-700308,ORD-2024-100308,2024-01-27,Debit Card,Success,1432.76
PAY-700309,ORD-2024-100309,2024-01-26,Credit Card,Success,76.74
PAY-700310,ORD-2024-100310,2024-01-26,Credit Card,Success,93.46
PAY-700311,ORD-2024-100311,2024-01-26,Credit Card,Success,299.6
PAY-700312,ORD-2024-100312,2024-01-26,Credit Card,Success,434.27
PAY-700313,ORD-2024-100313,2024-01-26,Credit Card,Success,246.99
PAY-700314,ORD-2024-100314,2024-01-27,Debit Card,Success,69.39
PAY-700315,ORD-2024-100315,2024-01-26,Credit Card,Success,362.4
PAY-700316,ORD-2024-100316,2024-01-27,Credit Card,Success,1529.79
PAY-700317,ORD-2024-100317,2024-01-27,Credit Card,Success,176.44
PAY-700318,ORD-2024-100318,2024-01-26,Credit Card,Refunded,208.4
PAY-700319,ORD-2024-100319,2024-01-27,Credit Card,Success,348.73
PAY-700320,ORD-2024-100320,2024-01-27,Debit Card,Success,429.0
PAY-700321,ORD-2024-100321,2024-01-26,Credit Card,Success,189.14
PAY-700322,ORD-2024-100322,2024-01-27,Credit Card,Success,799.0
PAY-700323,ORD-2024-100323,2024-01-27,Credit Card,Success,1481.07
PAY-700324,ORD-2024-100324,2024-01-28,Credit Card,Success,179.0
PAY-700325,ORD-2024-100325,2024-01-27,Debit Card,Success,44.99
PAY-700326,ORD-2024-100326,2024-01-27,PayPal,Success,209.54
PAY-700327,ORD-2024-100327,2024-01-27,BNPL,Success,981.97
PAY-700328,ORD-2024-100328,2024-01-27,Credit Card,Refunded,1496.45
PAY-700329,ORD-2024-100329,2024-01-27,Credit Card,Success,661.18
PAY-700330,ORD-2024-100330,2024-01-27,PayPal,Success,3281.72
PAY-700331,ORD-2024-100331,2024-01-27,Credit Card,Success,346.01
PAY-700332,ORD-2024-100332,2024-01-27,Credit Card,Success,693.0
PAY-700333,ORD-2024-100333,2024-01-28,Debit Card,Success,1665.81
PAY-700334,ORD-2024-100334,2024-01-27,Credit Card,Success,2053.96
PAY-700335,ORD-2024-100335,2024-01-27,Credit Card,Success,75.89
PAY-700336,ORD-2024-100336,2024-01-28,Credit Card,Success,1886.82
PAY-700337,ORD-2024-100337,2024-01-27,Credit Card,Refunded,253.13
PAY-700338,ORD-2024-100338,2024-01-27,Credit Card,Success,172.9
PAY-700339,ORD-2024-100339,2024-01-28,Credit Card,Success,170.6
PAY-700340,ORD-2024-100340,2024-01-28,Credit Card,Success,509.24
PAY-700341,ORD-2024-100341,2024-01-28,BNPL,Success,563.99
PAY-700342,ORD-2024-100342,2024-01-28,Credit Card,Success,471.19
PAY-700343,ORD-2024-100343,2024-01-29,PayPal,Success,1138.93
PAY-700344,ORD-2024-100344,2024-01-29,PayPal,Success,411.82
PAY-700345,ORD-2024-100345,2024-01-29,BNPL,Refunded,1373.74
PAY-700346,ORD-2024-100346,2024-01-28,BNPL,Success,245.59
PAY-700347,ORD-2024-100347,2024-01-28,Credit Card,Success,5471.11
PAY-700348,ORD-2024-100348,2024-01-28,Credit Card,Success,1084.09
PAY-700349,ORD-2024-100349,2024-01-28,Credit Card,Success,1044.57
PAY-700350,ORD-2024-100350,2024-01-29,Credit Card,Success,228.71
PAY-700351,ORD-2024-100351,2024-01-28,Credit Card,Success,3316.63
PAY-700352,ORD-2024-100352,2024-01-28,Credit Card,Success,520.29
PAY-700353,ORD-2024-100353,2024-01-30,Apple Pay,Success,281.89
PAY-700354,ORD-2024-100354,2024-01-29,PayPal,Success,125.99
PAY-700355,ORD-2024-100355,2024-01-29,Credit Card,Success,65.0
PAY-700356,ORD-2024-100356,2024-01-30,PayPal,Success,292.08
PAY-700357,ORD-2024-100357,2024-01-29,Apple Pay,Success,178.23
PAY-700358,ORD-2024-100358,2024-01-29,Credit Card,Success,238.99
PAY-700359,ORD-2024-100359,2024-01-29,Credit Card,Success,879.39
PAY-700360,ORD-2024-100360,2024-01-29,Credit Card,Success,464.86
PAY-700361,ORD-2024-100361,2024-01-29,Credit Card,Success,43.63
PAY-700362,ORD-2024-100362,2024-01-29,Debit Card,Success,61.36
PAY-700363,ORD-2024-100363,2024-01-29,Credit Card,Success,717.12
PAY-700364,ORD-2024-100364,2024-01-29,Credit Card,Success,193.99
PAY-700365,ORD-2024-100365,2024-01-29,BNPL,Success,99.36
PAY-700366,ORD-2024-100366,2024-01-29,Credit Card,Success,76.63
PAY-700367,ORD-2024-100367,2024-01-30,PayPal,Success,80.54
PAY-700368,ORD-2024-100368,2024-01-31,Debit Card,Success,2742.43
PAY-700369,ORD-2024-100369,2024-01-30,Apple Pay,Success,430.3
PAY-700370,ORD-2024-100370,2024-01-30,PayPal,Success,137.0
PAY-700371,ORD-2024-100371,2024-01-31,Credit Card,Success,42.11
PAY-700372,ORD-2024-100372,2024-01-30,Credit Card,Success,315.72
PAY-700373,ORD-2024-100373,2024-01-30,Credit Card,Success,731.0
PAY-700374,ORD-2024-100374,2024-01-30,Credit Card,Success,43.35
PAY-700375,ORD-2024-100375,2024-01-30,Apple Pay,Success,68.2
